ds,y,promo,dow
2022-09-06,1335.26,0,1
2022-09-07,965.27,0,2
2022-09-08,936.48,0,3
2022-09-09,833.03,0,4
2022-09-10,1028.87,1,5
2022-09-11,804.58,1,6
2022-09-12,858.76,0,0
2022-09-13,1116.68,0,1
2022-09-14,1120.38,0,2
2022-09-15,930.46,0,3
2022-09-16,780.57,0,4
2022-09-17,712.54,1,5
2022-09-18,873.85,1,6
2022-09-19,852.61,0,0
2022-09-20,1058.43,0,1
2022-09-21,1017.94,0,2
2022-09-22,1012.1,0,3
2022-09-23,892.39,0,4
2022-09-24,862.24,1,5
2022-09-25,929.89,1,6
2022-09-26,882.66,0,0
2022-09-27,1033.62,0,1
2022-09-28,1000.02,0,2
2022-09-29,995.61,0,3
2022-09-30,780.71,0,4
2022-10-01,1055.38,1,5
2022-10-02,1051.81,1,6
2022-10-03,916.18,0,0
2022-10-04,957.87,0,1
2022-10-05,961.81,0,2
2022-10-06,1084.26,0,3
2022-10-07,818.21,0,4
2022-10-08,896.16,1,5
2022-10-09,722.48,1,6
2022-10-10,972.76,0,0
2022-10-11,1082.35,0,1
2022-10-12,965.05,0,2
2022-10-13,921.34,0,3
2022-10-14,821.97,0,4
2022-10-15,858.17,1,5
2022-10-16,872.88,1,6
2022-10-17,874.24,0,0
2022-10-18,1016.58,0,1
2022-10-19,1096.52,0,2
2022-10-20,1121.12,0,3
2022-10-21,544.7,0,4
2022-10-22,836.66,1,5
2022-10-23,927.54,1,6
2022-10-24,920.85,0,0
2022-10-25,1011.54,0,1
2022-10-26,912.84,0,2
2022-10-27,1014.3,0,3
2022-10-28,981.92,0,4
2022-10-29,716.91,1,5
2022-10-30,1006.57,1,6
2022-10-31,867.06,0,0
2022-11-01,1051.54,0,1
2022-11-02,992.44,0,2
2022-11-03,957.55,0,3
2022-11-04,948.95,0,4
2022-11-05,940.92,1,5
2022-11-06,1106.11,1,6
2022-11-07,1028.21,0,0
2022-11-08,1112.4,0,1
2022-11-09,1283.19,0,2
2022-11-10,1046.21,0,3
2022-11-11,913.31,0,4
2022-11-12,867.59,1,5
2022-11-13,954.43,1,6
2022-11-14,853.02,0,0
2022-11-15,1179.98,0,1
2022-11-16,1003.73,0,2
2022-11-17,1093.54,0,3
2022-11-18,824.67,0,4
2022-11-19,1031.0,1,5
2022-11-20,1039.77,1,6
2022-11-21,1118.71,0,0
2022-11-22,1168.19,0,1
2022-11-23,978.65,0,2
2022-11-24,1023.11,0,3
2022-11-25,741.23,0,4
2022-11-26,880.48,1,5
2022-11-27,1134.47,1,6
2022-11-28,1015.66,0,0
2022-11-29,1040.66,0,1
2022-11-30,1050.11,0,2
2022-12-01,1048.87,0,3
2022-12-02,752.74,0,4
2022-12-03,885.18,1,5
2022-12-04,1034.73,1,6
2022-12-05,1083.88,0,0
2022-12-06,1188.02,0,1
2022-12-07,939.08,0,2
2022-12-08,1092.91,0,3
2022-12-09,898.61,0,4
2022-12-10,1014.93,1,5
2022-12-11,1186.56,1,6
2022-12-12,779.41,0,0
2022-12-13,1085.53,0,1
2022-12-14,1244.92,0,2
2022-12-15,922.03,0,3
2022-12-16,1056.82,0,4
2022-12-17,1032.6,1,5
2022-12-18,1131.93,1,6
2022-12-19,946.73,0,0
2022-12-20,1244.19,0,1
2022-12-21,1310.92,0,2
2022-12-22,1121.8,0,3
2022-12-23,951.05,0,4
2022-12-24,1045.68,1,5
2022-12-25,983.89,1,6
2022-12-26,1007.62,0,0
2022-12-27,1166.16,0,1
2022-12-28,1261.04,0,2
2022-12-29,1217.15,0,3
2022-12-30,840.44,0,4
2022-12-31,1431.55,3,5
2023-01-01,1242.41,1,6
2023-01-02,967.4,0,0
2023-01-03,1118.58,0,1
2023-01-04,1262.33,0,2
2023-01-05,1221.0,0,3
2023-01-06,966.82,0,4
2023-01-07,1198.79,1,5
2023-01-08,1203.14,1,6
2023-01-09,1144.61,0,0
2023-01-10,1274.85,0,1
2023-01-11,1493.47,0,2
2023-01-12,1134.61,0,3
2023-01-13,783.84,0,4
2023-01-14,1249.21,1,5
2023-01-15,1094.52,1,6
2023-01-16,1089.55,0,0
2023-01-17,1368.66,0,1
2023-01-18,1118.67,0,2
2023-01-19,1048.07,0,3
2023-01-20,842.09,0,4
2023-01-21,1031.63,1,5
2023-01-22,1206.38,1,6
2023-01-23,1148.93,0,0
2023-01-24,1282.98,0,1
2023-01-25,1155.15,0,2
2023-01-26,959.64,0,3
2023-01-27,1024.95,0,4
2023-01-28,1085.15,1,5
2023-01-29,1229.49,1,6
2023-01-30,1183.62,0,0
2023-01-31,1285.94,0,1
2023-02-01,1389.06,0,2
2023-02-02,1230.05,0,3
2023-02-03,1088.84,0,4
2023-02-04,1081.89,1,5
2023-02-05,1185.42,1,6
2023-02-06,1148.93,0,0
2023-02-07,1369.84,0,1
2023-02-08,1289.16,0,2
2023-02-09,1274.55,0,3
2023-02-10,1024.38,0,4
2023-02-11,1159.1,1,5
2023-02-12,1304.58,1,6
2023-02-13,944.5,0,0
2023-02-14,1172.48,0,1
2023-02-15,1194.46,0,2
2023-02-16,1003.0,0,3
2023-02-17,996.85,0,4
2023-02-18,1262.5,1,5
2023-02-19,1209.56,1,6
2023-02-20,1176.63,0,0
2023-02-21,1423.87,0,1
2023-02-22,1488.04,0,2
2023-02-23,1241.81,0,3
2023-02-24,1212.16,0,4
2023-02-25,1211.44,1,5
2023-02-26,1168.68,1,6
2023-02-27,1108.8,0,0
2023-02-28,1178.03,0,1
2023-03-01,1277.33,0,2
2023-03-02,1223.54,0,3
2023-03-03,1167.51,0,4
2023-03-04,1386.74,1,5
2023-03-05,1126.31,1,6
2023-03-06,1217.08,0,0
2023-03-07,1231.31,0,1
2023-03-08,1422.63,0,2
2023-03-09,1254.97,0,3
2023-03-10,912.52,0,4
2023-03-11,1317.54,1,5
2023-03-12,1213.71,1,6
2023-03-13,1132.01,0,0
2023-03-14,1235.71,0,1
2023-03-15,1316.75,0,2
2023-03-16,1317.6,0,3
2023-03-17,1083.12,0,4
2023-03-18,1265.08,1,5
2023-03-19,1317.54,1,6
2023-03-20,1323.01,0,0
2023-03-21,1313.66,0,1
2023-03-22,1239.45,0,2
2023-03-23,1386.18,0,3
2023-03-24,1073.24,0,4
2023-03-25,1348.55,1,5
2023-03-26,1324.18,1,6
2023-03-27,1181.26,0,0
2023-03-28,1385.93,0,1
2023-03-29,1585.04,0,2
2023-03-30,1489.66,0,3
2023-03-31,1115.52,0,4
2023-04-01,1255.28,1,5
2023-04-02,1395.25,1,6
2023-04-03,1111.07,0,0
2023-04-04,1385.31,0,1
2023-04-05,1388.0,0,2
2023-04-06,1313.68,0,3
2023-04-07,1025.27,0,4
2023-04-08,1079.77,1,5
2023-04-09,1079.41,1,6
2023-04-10,1082.99,0,0
2023-04-11,1304.92,0,1
2023-04-12,1359.74,0,2
2023-04-13,1474.18,0,3
2023-04-14,1217.06,0,4
2023-04-15,1139.29,1,5
2023-04-16,1317.86,1,6
2023-04-17,1150.96,0,0
2023-04-18,1318.99,0,1
2023-04-19,1403.93,0,2
2023-04-20,1338.41,0,3
2023-04-21,1068.28,0,4
2023-04-22,1336.0,1,5
2023-04-23,1162.65,1,6
2023-04-24,1187.15,0,0
2023-04-25,1601.75,0,1
2023-04-26,1401.97,0,2
2023-04-27,1413.79,0,3
2023-04-28,1105.04,0,4
2023-04-29,1279.28,1,5
2023-04-30,1262.39,1,6
2023-05-01,1162.32,0,0
2023-05-02,1256.6,0,1
2023-05-03,1414.98,0,2
2023-05-04,1177.33,0,3
2023-05-05,1154.19,0,4
2023-05-06,1318.89,1,5
2023-05-07,1293.56,1,6
2023-05-08,1141.68,0,0
2023-05-09,1370.63,0,1
2023-05-10,1331.51,0,2
2023-05-11,1346.21,0,3
2023-05-12,894.42,0,4
2023-05-13,1163.73,1,5
2023-05-14,1044.44,1,6
2023-05-15,1009.99,0,0
2023-05-16,1450.57,0,1
2023-05-17,1440.61,0,2
2023-05-18,1169.2,0,3
2023-05-19,915.57,0,4
2023-05-20,885.71,1,5
2023-05-21,1173.77,1,6
2023-05-22,1389.14,0,0
2023-05-23,1345.07,0,1
2023-05-24,1282.32,0,2
2023-05-25,1274.63,0,3
2023-05-26,896.5,0,4
2023-05-27,1135.48,1,5
2023-05-28,1220.88,1,6
2023-05-29,1124.7,0,0
2023-05-30,1366.68,0,1
2023-05-31,1358.59,0,2
2023-06-01,1280.63,0,3
2023-06-02,969.26,0,4
2023-06-03,1236.49,1,5
2023-06-04,1355.12,1,6
2023-06-05,1021.31,0,0
2023-06-06,1183.7,0,1
2023-06-07,1442.42,0,2
2023-06-08,1179.24,0,3
2023-06-09,1162.92,0,4
2023-06-10,1082.67,1,5
2023-06-11,1317.78,1,6
2023-06-12,1115.53,0,0
2023-06-13,1282.23,0,1
2023-06-14,1449.14,0,2
2023-06-15,1145.92,0,3
2023-06-16,912.05,0,4
2023-06-17,1061.29,1,5
2023-06-18,1196.62,1,6
2023-06-19,929.15,0,0
2023-06-20,1303.41,0,1
2023-06-21,1221.97,0,2
2023-06-22,1279.98,0,3
2023-06-23,749.77,0,4
2023-06-24,1006.04,1,5
2023-06-25,961.22,1,6
2023-06-26,985.97,0,0
2023-06-27,1247.25,0,1
2023-06-28,1240.71,0,2
2023-06-29,1122.61,0,3
2023-06-30,956.0,0,4
2023-07-01,1083.22,1,5
2023-07-02,1007.18,1,6
2023-07-03,1121.94,0,0
2023-07-04,1846.53,2,1
2023-07-05,1279.79,0,2
2023-07-06,1186.25,0,3
2023-07-07,984.22,0,4
2023-07-08,1244.55,1,5
2023-07-09,1077.51,1,6
2023-07-10,1003.26,0,0
2023-07-11,1112.53,0,1
2023-07-12,1120.83,0,2
2023-07-13,988.96,0,3
2023-07-14,848.55,0,4
2023-07-15,1012.44,1,5
2023-07-16,1098.18,1,6
2023-07-17,1022.1,0,0
2023-07-18,1094.42,0,1
2023-07-19,1297.23,0,2
2023-07-20,1170.59,0,3
2023-07-21,904.78,0,4
2023-07-22,933.3,1,5
2023-07-23,1098.78,1,6
2023-07-24,1019.38,0,0
2023-07-25,1009.85,0,1
2023-07-26,1184.22,0,2
2023-07-27,1106.76,0,3
2023-07-28,814.81,0,4
2023-07-29,997.58,1,5
2023-07-30,878.63,1,6
2023-07-31,1118.61,0,0
2023-08-01,1264.0,0,1
2023-08-02,1150.45,0,2
2023-08-03,1101.73,0,3
2023-08-04,648.77,0,4
2023-08-05,844.21,1,5
2023-08-06,976.18,1,6
2023-08-07,863.23,0,0
2023-08-08,1196.27,0,1
2023-08-09,1361.23,0,2
2023-08-10,933.71,0,3
2023-08-11,792.17,0,4
2023-08-12,966.15,1,5
2023-08-13,1149.66,1,6
2023-08-14,834.94,0,0
2023-08-15,1136.67,0,1
2023-08-16,1330.76,0,2
2023-08-17,873.53,0,3
2023-08-18,735.36,0,4
2023-08-19,884.77,1,5
2023-08-20,921.3,1,6
2023-08-21,1026.64,0,0
2023-08-22,1124.36,0,1
2023-08-23,959.8,0,2
2023-08-24,1079.14,0,3
2023-08-25,794.85,0,4
2023-08-26,1041.12,1,5
2023-08-27,897.44,1,6
2023-08-28,871.58,0,0
2023-08-29,1144.42,0,1
2023-08-30,1203.95,0,2
2023-08-31,1063.03,0,3
2023-09-01,674.92,0,4
2023-09-02,956.23,1,5
2023-09-03,845.85,1,6
2023-09-04,950.45,0,0
2023-09-05,939.88,0,1
2023-09-06,1164.51,0,2
2023-09-07,930.06,0,3
2023-09-08,707.99,0,4
2023-09-09,964.94,1,5
2023-09-10,964.94,1,6
2023-09-11,859.14,0,0
2023-09-12,1221.27,0,1
2023-09-13,1070.0,0,2
2023-09-14,1008.41,0,3
2023-09-15,857.92,0,4
2023-09-16,825.26,1,5
2023-09-17,981.92,1,6
2023-09-18,862.85,0,0
2023-09-19,1030.95,0,1
2023-09-20,1246.6,0,2
2023-09-21,897.7,0,3
2023-09-22,586.61,0,4
2023-09-23,1044.61,1,5
2023-09-24,1186.41,1,6
2023-09-25,873.45,0,0
2023-09-26,876.52,0,1
2023-09-27,1077.68,0,2
2023-09-28,971.85,0,3
2023-09-29,807.91,0,4
2023-09-30,771.15,1,5
2023-10-01,988.8,1,6
2023-10-02,966.38,0,0
2023-10-03,921.02,0,1
2023-10-04,1179.21,0,2
2023-10-05,1206.61,0,3
2023-10-06,845.29,0,4
2023-10-07,850.45,1,5
2023-10-08,918.72,1,6
2023-10-09,977.57,0,0
2023-10-10,899.82,0,1
2023-10-11,1128.47,0,2
2023-10-12,965.34,0,3
2023-10-13,1016.22,0,4
2023-10-14,871.16,1,5
2023-10-15,1104.49,1,6
2023-10-16,809.93,0,0
2023-10-17,1136.18,0,1
2023-10-18,1148.84,0,2
2023-10-19,922.65,0,3
2023-10-20,854.66,0,4
2023-10-21,1016.88,1,5
2023-10-22,912.74,1,6
2023-10-23,757.48,0,0
2023-10-24,1082.36,0,1
2023-10-25,1033.61,0,2
2023-10-26,982.57,0,3
2023-10-27,836.29,0,4
2023-10-28,734.66,1,5
2023-10-29,793.5,1,6
2023-10-30,983.27,0,0
2023-10-31,1040.51,0,1
2023-11-01,876.32,0,2
2023-11-02,1104.5,0,3
2023-11-03,881.17,0,4
2023-11-04,845.86,1,5
2023-11-05,835.74,1,6
2023-11-06,1028.93,0,0
2023-11-07,1138.27,0,1
2023-11-08,1381.87,0,2
2023-11-09,1079.11,0,3
2023-11-10,904.03,0,4
2023-11-11,914.84,1,5
2023-11-12,1063.7,1,6
2023-11-13,1019.92,0,0
2023-11-14,1240.81,0,1
2023-11-15,1104.01,0,2
2023-11-16,1006.31,0,3
2023-11-17,830.34,0,4
2023-11-18,1026.97,1,5
2023-11-19,1148.49,1,6
2023-11-20,925.19,0,0
2023-11-21,1087.03,0,1
2023-11-22,1201.64,0,2
2023-11-23,1039.57,0,3
2023-11-24,987.95,0,4
2023-11-25,740.9,1,5
2023-11-26,934.42,1,6
2023-11-27,907.91,0,0
2023-11-28,912.74,0,1
2023-11-29,1089.31,0,2
2023-11-30,988.25,0,3
2023-12-01,888.43,0,4
2023-12-02,1097.15,1,5
2023-12-03,1012.56,1,6
2023-12-04,899.35,0,0
2023-12-05,1155.51,0,1
2023-12-06,1307.18,0,2
2023-12-07,998.91,0,3
2023-12-08,834.36,0,4
2023-12-09,1062.8,1,5
2023-12-10,1036.16,1,6
2023-12-11,1084.45,0,0
2023-12-12,1177.23,0,1
2023-12-13,1289.93,0,2
2023-12-14,1010.61,0,3
2023-12-15,941.93,0,4
2023-12-16,1007.97,1,5
2023-12-17,958.95,1,6
2023-12-18,881.36,0,0
2023-12-19,1265.27,0,1
2023-12-20,1202.84,0,2
2023-12-21,1030.14,0,3
2023-12-22,951.84,0,4
2023-12-23,1164.65,1,5
2023-12-24,875.34,1,6
2023-12-25,906.54,0,0
2023-12-26,1122.95,0,1
2023-12-27,1402.65,0,2
2023-12-28,1179.25,0,3
2023-12-29,1056.85,0,4
2023-12-30,961.02,1,5
2023-12-31,1436.18,3,6
2024-01-01,1120.36,0,0
2024-01-02,1240.45,0,1
2024-01-03,1330.8,0,2
2024-01-04,1151.62,0,3
2024-01-05,1027.32,0,4
2024-01-06,1114.9,1,5
2024-01-07,1228.44,1,6
2024-01-08,1174.98,0,0
2024-01-09,1091.31,0,1
2024-01-10,1069.84,0,2
2024-01-11,1289.17,0,3
2024-01-12,1136.84,0,4
2024-01-13,1019.99,1,5
2024-01-14,987.58,1,6
2024-01-15,1122.58,0,0
2024-01-16,1364.72,0,1
2024-01-17,1492.59,0,2
2024-01-18,1258.81,0,3
2024-01-19,999.01,0,4
2024-01-20,1055.1,1,5
2024-01-21,1196.96,1,6
2024-01-22,1100.6,0,0
2024-01-23,1187.87,0,1
2024-01-24,1535.35,0,2
2024-01-25,1403.23,0,3
2024-01-26,1167.2,0,4
2024-01-27,1073.77,1,5
2024-01-28,1302.6,1,6
2024-01-29,1211.53,0,0
2024-01-30,1350.54,0,1
2024-01-31,1472.21,0,2
2024-02-01,1304.88,0,3
2024-02-02,1144.08,0,4
2024-02-03,1249.78,1,5
2024-02-04,1271.21,1,6
2024-02-05,985.21,0,0
2024-02-06,1330.48,0,1
2024-02-07,1307.28,0,2
2024-02-08,1128.85,0,3
2024-02-09,1253.57,0,4
2024-02-10,1377.72,1,5
2024-02-11,1391.55,1,6
2024-02-12,1203.83,0,0
2024-02-13,1471.73,0,1
2024-02-14,1378.45,0,2
2024-02-15,1291.25,0,3
2024-02-16,989.97,0,4
2024-02-17,1261.49,1,5
2024-02-18,1278.37,1,6
2024-02-19,1061.32,0,0
2024-02-20,1344.6,0,1
2024-02-21,1382.1,0,2
2024-02-22,1463.32,0,3
2024-02-23,1201.09,0,4
2024-02-24,1237.91,1,5
2024-02-25,1311.88,1,6
2024-02-26,1207.64,0,0
2024-02-27,1340.81,0,1
2024-02-28,1292.96,0,2
2024-02-29,1279.33,0,3
2024-03-01,1047.68,0,4
2024-03-02,1124.5,1,5
2024-03-03,1350.56,1,6
2024-03-04,1252.17,0,0
2024-03-05,1191.99,0,1
2024-03-06,1398.22,0,2
2024-03-07,1403.02,0,3
2024-03-08,1236.94,0,4
2024-03-09,1362.51,1,5
2024-03-10,1313.37,1,6
2024-03-11,1136.43,0,0
2024-03-12,1269.89,0,1
2024-03-13,1452.26,0,2
2024-03-14,1348.4,0,3
2024-03-15,1266.49,0,4
2024-03-16,1377.8,1,5
2024-03-17,1303.76,1,6
2024-03-18,1102.36,0,0
2024-03-19,1351.9,0,1
2024-03-20,1444.78,0,2
2024-03-21,1295.21,0,3
2024-03-22,1084.61,0,4
2024-03-23,1298.34,1,5
2024-03-24,1271.46,1,6
2024-03-25,1167.71,0,0
2024-03-26,1418.39,0,1
2024-03-27,1385.97,0,2
2024-03-28,1342.64,0,3
2024-03-29,1172.22,0,4
2024-03-30,1161.68,1,5
2024-03-31,1275.92,1,6
2024-04-01,1375.87,0,0
2024-04-02,1272.3,0,1
2024-04-03,1215.46,0,2
2024-04-04,1132.69,0,3
2024-04-05,1148.15,0,4
2024-04-06,1278.56,1,5
2024-04-07,1311.74,1,6
2024-04-08,1352.91,0,0
2024-04-09,1120.31,0,1
2024-04-10,1465.5,0,2
2024-04-11,1473.49,0,3
2024-04-12,1030.62,0,4
2024-04-13,1234.64,1,5
2024-04-14,1244.98,1,6
2024-04-15,1139.3,0,0
2024-04-16,1351.91,0,1
2024-04-17,1565.3,0,2
2024-04-18,1497.43,0,3
2024-04-19,1105.85,0,4
2024-04-20,1457.62,1,5
2024-04-21,1317.95,1,6
2024-04-22,1399.25,0,0
2024-04-23,1370.06,0,1
2024-04-24,1430.21,0,2
2024-04-25,1344.5,0,3
2024-04-26,1451.3,0,4
2024-04-27,1344.18,1,5
2024-04-28,1235.25,1,6
2024-04-29,1313.9,0,0
2024-04-30,1336.04,0,1
2024-05-01,1360.69,0,2
2024-05-02,1391.1,0,3
2024-05-03,1128.54,0,4
2024-05-04,1276.41,1,5
2024-05-05,1296.54,1,6
2024-05-06,1241.87,0,0
2024-05-07,1405.67,0,1
2024-05-08,1206.65,0,2
2024-05-09,1357.32,0,3
2024-05-10,1017.4,0,4
2024-05-11,1091.56,1,5
2024-05-12,1276.22,1,6
2024-05-13,1206.04,0,0
2024-05-14,1283.01,0,1
2024-05-15,1472.41,0,2
2024-05-16,1145.17,0,3
2024-05-17,1063.4,0,4
2024-05-18,1162.45,1,5
2024-05-19,1262.28,1,6
2024-05-20,1213.35,0,0
2024-05-21,1239.18,0,1
2024-05-22,1449.12,0,2
2024-05-23,1272.87,0,3
2024-05-24,901.88,0,4
2024-05-25,1008.38,1,5
2024-05-26,1248.76,1,6
2024-05-27,1149.76,0,0
2024-05-28,1315.83,0,1
2024-05-29,1359.92,0,2
2024-05-30,1274.97,0,3
2024-05-31,1171.51,0,4
2024-06-01,1074.83,1,5
2024-06-02,1114.29,1,6
2024-06-03,1047.7,0,0
2024-06-04,1340.08,0,1
2024-06-05,1472.08,0,2
